prompt,actual_completion,finetune_completion,nshot_completion_curie,nshot_completion_davinci,Comment
"mrh aft scissors has side to side play           

###

"," removed, inspected, and reshimmed aft scissor bolt iaw 150-300.  area secure and fod free.  pema 6fksa76279.   <EOS>",inspected mrh aft scissor iaw 150-300. play is within limits. max limit is .008. area secure and fod free. pema: 6fksa76012.  ,inspeted mrh aft scissors side to side play iaw srm-000. installed new shims. installed safety wire on bolts. area secure and fod free at time of inspection. pema 76544 iaw:a1-h60ra-gai-000. , replaced aft scissors iaw 150-300. checks good. area secure and fod free at time of inspection. ,None
"black mrh blade lower tip cap screws worn. card abcd-17 step 1.2           

###

"," black mrh blade lower tip cap screws removed and replaced iaw 150-300. area secure and fod check complete. refer to jcn: qg0124192 for 9-13 tq checks on tip cap screws. **corection: trans code should be 12, action taken should be b and parts should be ind <EOS>",removed and replaced black mrh blade lower tip cap screws iaw 150-300.  area secure and no fod found at time of inspection.  pema s/n 6cksa67509  ,removed and replaced black mrh blade lower tip cap screws iaw srm-000. area secure and fod free at time of inspection.,removed and replaced black blade lower tip cap screws iaw a1-h60ra-150-300. all screws check good. area is secure and fod free at time of inspection.,None
"blue mrb damper leaking out of limits.           

###

", removed and replaced blue main rotor head damper iaw a1-h60ra-150-300. area secure and fod free.   <EOS>,removed and replaced blue main rotor damper iaw 150-300. area secure and fod free.  ,inspected and replaced blue mrb damper iaw 150-300. all checks good. area secure and fod free at the time of inspection.,removed and replaced blue mrb damper iaw 150-300. all checks good. area secure and fod free at the time of inspection.,None
"left hand nose landing gear tire worn. 

###

"," replaced left nose landing gear tire iaw sss 3240. ataf, apaf, aff. pema 06760 utilized. <EOS>",replaced lh nlg tire iaw sss 3240. ataf apaf aff. used pema 76594.,iaw s/n 2120 removed and replaced left hand nose landing gear tire iaw 255-10-100. area secure and fod free at time of inspection.,removed and replaced left hand nose landing gear tire iaw sss 3240. ataf apaf aff.,None
"scir change:  16pmgg9.  yellow blade tip cap screws worn. 

###

", removed and replaced yellow bladetip cap screws iaw 150-300.  area fod free and secure. <EOS>,removed and replased all tip cap screws iaw 150-300. refer to jcn: pq4186avis for tip cap installation on yellow blade. area clean and fod free.,replaced screws iaw a1-h60ra-140-300. all checks good. area secure and fod free at time of inspection.,replaced yellow blade tip cap screws iaw a1-h60ra-150-300. all checks good. area secure and fod free at time of inspection.,None
"right and left nose landing gear tires require pressure.           

###

", serviced nose landing gear tires to 260 psi. used pema 67330. ataf. apaf. aff.   <EOS>,serviced nlg tires to 260 psi. used pema 67330. ataf. apaf. aff.  ,verified right and left nose landing gear tires with applicator and found that they require air pressure. applied air at 50 psi to both tires. area is secure and fod free.,"check pressures iaw aa-h60ra-1. left: 32 psi, right: 30 psi.",Additional information
"mrh accumulator fluid level is in red           

###

"," serviced mrh accumulator to 1400 psi, 2nd green iaw a1-h60a-gai-000. oat 28 degrees celcius. a/h: 1114.8. area secure and fod free.   <EOS>","serviced mrh accumulator iaw gai-000. hyds: high green, n2: 1400 psi, and oat 22 degrees celcius. a/c hours of 3,103.1. checks good at current temp. area secure and fod free at the time of completion.  ","serviced mrh accumulator using hsu 257 navy class 2 iaw a1-h60ra-gai-000. hydraulic side in the high green. nitrogen side: 1600 psi. ambient air temp: 19 degrees celcius. a/c time now 2847.5 all checks good, area secure and fod free at time of completion.",serviced main rotor head accumulator low per bdu iaw gai-000. oat: 28* c a/c hrs: 3695.2 navy class 2 area secure and fod free at time of completion.,None
"lower centering socket on black blade safety wire installed incorrectly. 

###

", inspected and replaced safety wire on black lower centering socket iaw 150-300. fod check complete area secured at time of inspection. <EOS>,removed and replaced lower centering socket on black blade saftey wire iaw 150-300. area fod free and secured.,replaced lower centering socket iaw: 238-0001. area is secure and fod free.,corrected lower centering socket installation iaw a1-h60ra-150-300. all checks good. area secure and fod free at time of inspection.,Safety wire' info not covered
"main rotor head ool           

###

"," removed main rotor head weights, adjusted red, yellow and blue centering sockets. checked lead stop, anti-flap and scissor gaps, within limits iaw 150-300 and vib-200. area secure and fod free.   <EOS>",utilized pcr adjustments to bring out vibrations in limits iaw vib-200. adjusted red +2 clicks and black -3 clicks. area secure and fod free at time of inspection.  ,inspected main rotor head and found evidence of oil leakage iaw a1-h60ra-gai-000. applied hysol to areas of concern. area is secure and fod free.,added oil to main rotor head iaw a1-h60ra-gai-000. area is clean and free of fod.,
"bare metal on black spindle lower weight bracket 

###

"," cleaned, treated, and painted black spindle lower weight bracket  iaw 01-1a-509-2. area secure and fod free. pema s/n: 5lksa54016. <EOS>","cleaned, treated, and painted black spindle lower weight bracket iaw 01-1a-509-2.  area secure and fod free.  pema s/n:  5lksa54016.","iaw 150-300, removed and replaced bare metal on black spindle iaw b246-00021. area secure and fod free.",None,No predictions for Davinci
"red blade anti flap has crack forming           

###

", inspected red blade anti flap iaw 150-300. no visible cracks found. impact area deformation is within limits iaw 150-300. area is fod free and secured. pema s/n: 6fksa76289   <EOS>,removed and installed new red anti flap assy due to crack formulating iaw a1-h60ra-150-300. area secure and fod free.  ,"inspected red blade anti flap, found crack in the material. will replace when warranted iaw: a1-h60ra-140-300 pema 9fkhcc5000 or 9fkhec5400",removed and replaced red main rotor blade anti flap iaw 150-g300. all checks good. area secure and fod free.,None
"main rotor head ground vibrations ool           

###

", adjusted red pcr +15 clicks and blue pcr -8 clicks to bring vibrations within limits iaw vib-200. refer to jcn: qg0008189 for post pmi ground vibes. area secure and fod free.   <EOS>,"adjusted main rotor head for out of limits. added 38oz to red blade and 22oz to black blade. adjusted red pcr up 6 clicks, adjusted black pcr down 7 clicks, and adjusted red trim tab up 20 mils.threshold is communication break down",None,made adjustments to main rotor head iaw vib-200. added 84 grams to quadrant 3. area is clean and fod free.,None predicted in curie and no mention of clicks
"nlg bay harness has two disbonded click studs on lh side above nlg door           

###

", rebonded nlg bay clickstuds iaw sss 5110 pema 1531 ataf apaf aff   <EOS>,"repaired nlg bay harness clickstud iaw sss5110, utilizing pema 99036 ataf apaf aff  ",replaced nlg bay harness lg side iaw sss 3240 pema01913. all studs reinstalled and retightened. area is secure and fod free,None,Better for Finetuned
"main rotor head dampers qd's not saftey wired. refer to q20079017 for qa fod search. 

###

", safety wired mrh damper quick disconnect fittings iaw ref: 150-300. checks good. area fod free and secure at time of completion. <EOS>,safety wired all main rotor head damper qd's iaw: 600-#304. area secure and fod free at time of completion.,.qd's not safety wired refer to q20079017. area secure and fod free at time of inspection.,safety wired main rotor head dampers qd's iaw qa-5. all checks good. area fod free at time of inspection.,Random prediction
"main rotor head accumulator fluid level is low.  fluid level low due to the removal and reinstallation of the black, blue, and yellow dampers to facilitate the removal of the blue and yellow pitch lock housing. refer to mcn: qyo107066. 

###

"," serviced mrh with t6 s/n t6178 iaw gai-000. navy class zero. serviced to second green, 1600 psi, 26 degrees celcius at 2225.6 flight hours. area fod free and secure at time of completion.  refer to mcn:26xjbhv for excess leakage of damper conditional <EOS>",serviced mrh accumulator iaw gai-000. hyd: high green nit: 1600 oat: 25 degrees celsius. area fod free and secure at time of completion.,serviced main rotor head accumulator iaw qyo107066. oat: 31 degrees celcius. flying time is currently at 1190 hours. area fod free and secure.,recharged main rotor head accumulator iaw a1-h60ra-gai-000. normal level restored. all checks good. area secure and fod free at time of inspection.,None
"3.0 bias fails check           

###

"," adjusted black pcl from 2.7 to 3.0, red pcl from 2.6 to 3.0, and yellow pcl from 2.7 to 3.0  iaw 140-300. 3.0 bias checks good. area secure and fod free.   <EOS>",performed 3.0 bias check iaw 140-300. no adjustments required. all pcl's 3.0.  ,"removed and replaced yellow tail rotor blade bias at 3.0 iaw a1-h60ra-140-300. all checks good, area secure and fod free.",adjusted yellow tail rotor blade 3.0 iaw a1-h60ra-140-300. tr 3 degree bias fails check. area secure and fod free.,None
"torque tube fiitings worn.           

###

"," removed and cleaned both nlg tq tube fittings and re greased as needed, both nlg tq tube fitting check good, no j&c required due to rigging of nlg tq tube undisturbed. apaf ataf aff pema 80 used.   <EOS>",torque tube fittings removed and replaced iaw sss 3240. pema 76323 used. are fod free.  ,iaw 147-300 replaced all torque tube fiitings. area secure and fod free. pema 76826.,None,None predicted for Davinci model
"main rotor blades keep hunting when trying to find pitch lock position. 1 in 20 attempts on average will produce a successfull fold. 

###

", removed and replaced fwd and aft blade fold transducers iaw: 150-300. area secure and fod free at time of inspection. <EOS>,troubleshot down to bad horn upper pcr detent clicking in and out during flight actuation. refer to jcn: pq4155371 for replacement of upper pcr jamnut. area secure and fod check complete.,made slight adjustment to main rotor blades iaw acceptable limit. number of successful folds on average decreased to 1 in 10 attempts. area secure and fod free.,None,Random prediction for finetuned model
"yellow spindle bolt underneath detent springs has worn torque stripe. 

###

"," inspected yellow hinge bolt iaw 260-300. performed torque check on bolt, no movement noted. re applied torque stripe. area secure and fod free at time of inspection. <EOS>",applied torque stripe on yellow spindle underneath detent springs iaw a1-h60ra-150-300. checks good. completed fod check and area secure at time of inspection.,replaced yellow spindle bolt iaw: s/n: b246-00206. used pema 76544.,replaced yellow spindle bolt iaw 150-300. ataf apaf aff.,Not sure if counts as correct
"lower pressure plate failed 9-13 torque checks. refer to mcn: 00jfoc8 for new 9-13. (3rd attempt) 

###

", lower pressure plate failed on 2nd attempt of 9-13. stabalized lower pressure plate iaw 150-300. refer to mcn: 00jfoc8 ; jcn qg0225100 for new 9-13. area secure and fod check complete at time of isnpection. a/c time now: 1572.6 *** mal code should be c*** <EOS>,stabilized lower pressure plate to torque SPEC of 145 ft lbs at 260 in lbs iaw: 150-300. area secure and fod free at time of inspection.,"replaced lower pressure plate pema 0936-0009 using shims. replaced upper clamp pema 0954-0010 using new bolt. all 9 torque checks good, area secure and fod free.",replaced lower pressure plate iaw 150-300. Checks good. Area secure and fod free at time of replacement.,Does not talk about 'stabilization'
